Task,Dataset ID,Likes,Downloads,Last Modified,License,Models,Size,ArXiv
Q&A,openai/MMMLU,486,5173,2024-10-16 18:39:00+00:00,mit,94,unknown,2009.03300
Q&A,google-research-datasets/tydiqa,31,1488,2024-08-08 05:57:11+00:00,apache-2.0,4,unknown,none
Q&A,neulab/PangeaInstruct,84,522,2025-02-02 16:40:32+00:00,apache-2.0,6,unknown,2410.16153
Q&A,hsseinmz/arcd,7,300,2024-01-09 12:44:24+00:00,mit,1,unknown,none
Q&A,mhardalov/exams,34,1320,2024-02-06 07:20:12+00:00,cc-by-sa-4.0,3,unknown,2011.03080
Q&A,cis-lmu/m_lama,6,120,2025-05-14 08:05:50+00:00,cc-by-nc-sa-4.0,0,unknown,2102.00894
Q&A,apple/mkqa,40,345,2024-01-18 11:09:04+00:00,cc-by-3.0,0,unknown,2007.15207
Q&A,facebook/mlqa,41,1231,2024-01-18 11:09:06+00:00,cc-by-sa-3.0,0,unknown,1910.07475
Q&A,qcri/wiki_qa_ar,2,117,2024-01-18 11:18:07+00:00,unknown,0,unknown,none
Q&A,INK-USC/xcsr,6,1395,2024-01-04 17:03:17+00:00,mit,0,unknown,2106.06937
Q&A,microsoft/xglue,26,142,2023-06-30 09:06:30+00:00,other,0,unknown,2004.01401
Q&A,akariasai/xor_tydi_qa,2,100,2024-01-18 11:18:45+00:00,mit,0,unknown,2010.11856
Q&A,google/xquad,31,2516,2024-01-04 17:08:50+00:00,cc-by-sa-4.0,0,unknown,1910.11856
Q&A,google-research-datasets/xquad_r,2,380,2024-01-04 17:11:57+00:00,cc-by-sa-4.0,0,unknown,2004.05484
Q&A,google/xtreme,104,18922,2024-02-22 17:12:06+00:00,apache-2.0,19,unknown,2003.11080
Q&A,clips/mqa,52,1054,2022-09-27 12:38:50+00:00,cc0-1.0,2,unknown,none
Q&A,khalidalt/tydiqa-goldp,11,2195,2024-09-10 18:28:52+00:00,apache-2.0,13,unknown,none
Q&A,juletxara/xquad_xtreme,8,81,2024-09-10 18:37:12+00:00,cc-by-sa-4.0,1,unknown,1910.11856
Q&A,juletxara/tydiqa_xtreme,1,78,2024-09-10 18:48:21+00:00,apache-2.0,0,unknown,2003.11080
Q&A,khalidalt/tydiqa-primary,0,71,2022-07-28 21:56:04+00:00,apache-2.0,0,unknown,none
Q&A,tarteel-ai/quranqa,16,62,2024-09-11 08:02:47+00:00,cc-by-nd-4.0,0,unknown,none
Q&A,copenlu/answerable_tydiqa,8,87,2024-07-12 11:53:23+00:00,apache-2.0,0,unknown,none
Q&A,copenlu/tydiqa_copenlu,0,20,2022-08-16 12:10:21+00:00,apache-2.0,0,unknown,none
Q&A,deliadumitrescu/disinfo22-small,2,24,2023-05-03 09:33:17+00:00,cc-by-4.0,0,unknown,none
Q&A,AmazonScience/xtr-wiki_qa,5,119,2023-07-24 17:32:38+00:00,cdla-permissive-2.0,0,unknown,none
Q&A,hltcoe/megawika,37,68011,2025-01-31 15:32:11+00:00,cc-by-sa-4.0,2,unknown,2307.07049
Q&A,Salama1429/tarteel-ai-QuranQA,2,75,2024-09-11 08:03:51+00:00,cc-by-nd-4.0,0,unknown,none
Q&A,pengxiang01/test,0,48,2023-10-31 08:16:31+00:00,bsl-1.0,0,unknown,none
Q&A,nazimali/quran-question-answer-context,7,233,2024-09-04 00:15:40+00:00,cc-by-4.0,0,unknown,none
Q&A,HeshamHaroon/QA_Arabic,7,48,2023-07-16 10:37:36+00:00,apache-2.0,0,unknown,none
Q&A,crystalai/autotrain-data-crystal_alchemist-vision,1,0,2023-08-25 01:37:45+00:00,apache-2.0,0,unknown,none
Q&A,hac541309/basic_korean_dict,6,61,2023-07-26 12:28:43+00:00,cc-by-sa-3.0,0,unknown,none
Q&A,PetraAI/PetraAI,21,119,2023-09-14 21:04:52+00:00,apache-2.0,1,unknown,none
Q&A,FatemahAlsubaiei/CGSQuAD,0,12,2023-08-04 03:08:30+00:00,none,3,unknown,none
Q&A,imvladikon/QAmeleon,1,81,2023-08-13 19:36:48+00:00,cc-by-4.0,0,unknown,2211.08264
Q&A,M-A-D/Mixed-Arabic-Datasets-Repo,34,1255,2023-10-16 21:25:35+00:00,none,0,unknown,none
Q&A,facebook/belebele,111,11509,2024-08-12 22:18:08+00:00,cc-by-sa-4.0,211,unknown,none
Q&A,KIND-Dataset/KIND,0,23,2024-03-19 09:00:28+00:00,cc-by-4.0,0,unknown,none
Q&A,sbarham/megawika-test,1,60,2023-10-03 17:22:49+00:00,cc-by-sa-4.0,0,unknown,2307.07049
Q&A,PeepDaSlan9/DIDI,2,24,2023-10-18 15:51:49+00:00,apache-2.0,0,unknown,none
Q&A,ISTNetworks/arabic_alpaca_model,1,14,2023-12-06 21:48:59+00:00,apache-2.0,0,unknown,none
Q&A,alexandrainst/m_arc,4,2116,2024-01-15 14:53:25+00:00,cc-by-nc-4.0,0,unknown,none
Q&A,alexandrainst/m_hellaswag,5,1170,2024-02-12 16:32:54+00:00,cc-by-nc-4.0,0,unknown,none
Q&A,alexandrainst/m_mmlu,14,3554,2024-03-11 07:52:21+00:00,cc-by-nc-4.0,0,unknown,none
Q&A,alexandrainst/m_truthfulqa,1,882,2023-12-27 20:56:58+00:00,cc-by-nc-4.0,0,unknown,none
Q&A,faranheit/ministries,0,12,2024-01-11 11:39:25+00:00,apache-2.0,0,unknown,none
Q&A,riotu-lab/Quran-Tafseers,6,34,2024-01-26 17:10:45+00:00,apache-2.0,0,unknown,none
Q&A,TheTung/mlqa,0,22,2024-01-22 02:42:54+00:00,cc-by-sa-3.0,0,unknown,none
Q&A,abdoelsayed/ArabicaQA,1,450,2024-03-27 20:29:09+00:00,mit,2,unknown,2403.17848
Q&A,abdoelsayed/Open-ArabicaQA,7,995,2024-03-27 20:30:20+00:00,mit,2,unknown,2403.17848
Q&A,sadeem-ai/arabic-qna,3,755,2024-02-05 13:38:36+00:00,apache-2.0,0,unknown,none
Q&A,Hennara/ammlu,0,56,2024-03-02 17:20:25+00:00,none,0,unknown,2009.03300
Q&A,MBZUAI/ArabicMMLU,31,3431,2024-09-17 13:54:43+00:00,cc-by-nc-4.0,0,unknown,none
Q&A,MuhammadHelmy/nafsy-QA,1,20,2024-02-27 18:40:23+00:00,none,0,unknown,none
Q&A,Asmaamaghraby/ArabicChartsQA,2,25,2024-02-29 02:25:46+00:00,none,0,unknown,none
Q&A,caro-holt/MultiQ,8,22,2024-03-02 15:22:59+00:00,cc-by-4.0,0,unknown,none
Q&A,mmhamdy/Arabic-OpenHermes-Filtered,0,31,2024-03-07 05:38:07+00:00,none,0,unknown,none
Q&A,FreedomIntelligence/ALLaVA-4V-Arabic,3,52,2024-04-29 16:09:37+00:00,apache-2.0,0,unknown,2402.11684
Q&A,KIND-Dataset/Open-ended_Questions_dialectal_data,0,15,2024-03-19 09:00:59+00:00,cc-by-4.0,0,unknown,none
Q&A,cleexiang/chat_unsensored,0,21,2024-03-26 08:48:37+00:00,apache-2.0,0,unknown,none
Q&A,yongyi169/yy-chat-ar-20240327,0,17,2024-03-27 02:31:34+00:00,apache-2.0,0,unknown,none
Q&A,yongyi169/yy-chat-ar-20240329,0,37,2024-03-29 04:23:42+00:00,apache-2.0,0,unknown,none
Q&A,asas-ai/tydiqa-ar,0,14,2024-04-01 06:15:32+00:00,apache-2.0,0,unknown,none
Q&A,asas-ai/tydiqa-ar-primary_task,0,11,2024-04-01 06:15:03+00:00,apache-2.0,0,unknown,none
Q&A,asas-ai/tydiqa-ar-secondary_task,0,11,2024-04-01 06:16:42+00:00,apache-2.0,0,unknown,none
Q&A,asas-ai/mlqa-ar-ar,0,12,2024-04-01 07:27:40+00:00,cc-by-sa-3.0,0,unknown,none
Q&A,asas-ai/ArTrivia,0,15,2024-04-01 10:40:04+00:00,none,0,unknown,none
Q&A,TrainingDataPro/llm-dataset,5,29,2024-04-25 11:49:11+00:00,cc-by-nc-nd-4.0,0,unknown,none
Q&A,hmmamalrjoub/Islam_Question_and_Answer,0,15,2024-04-10 21:04:18+00:00,none,0,unknown,none
Q&A,hmmamalrjoub/Islam_Question_and_Answer1,1,34,2024-04-10 21:11:57+00:00,none,0,unknown,none
Q&A,forresty/xglue,2,123,2024-04-19 04:33:58+00:00,other,0,unknown,2004.01401
Q&A,Lyte/2A2I-Arabic-OpenHermes-2.5-Llama-3,1,49,2024-04-19 07:22:53+00:00,apache-2.0,0,unknown,none
Q&A,afaji/cvqa,28,444,2024-11-27 17:42:19+00:00,none,0,unknown,2406.05967
Q&A,nthakur/swim-ir-cross-lingual,7,168,2024-04-28 05:11:45+00:00,cc-by-sa-4.0,0,unknown,2311.05800
Q&A,nthakur/swim-ir-monolingual,8,340,2024-04-28 05:12:53+00:00,cc-by-sa-4.0,7,unknown,2311.05800
Q&A,asas-ai/mlqa_parallel_ar_eg,0,26,2024-05-08 00:52:35+00:00,cc-by-sa-3.0,0,unknown,none
Q&A,berwart/SE-Chatting.en,2,115,2024-10-03 21:10:29+00:00,mit,0,unknown,none
Q&A,xhluca/publichealth-qa,1,291,2024-05-17 03:47:43+00:00,cc-by-nc-sa-3.0,0,unknown,none
Q&A,BoodyAhmedHamdy/EgyLaw-Squad,0,13,2024-06-01 09:44:49+00:00,mit,1,unknown,none
Q&A,nayeon212/BLEnD,9,375,2025-05-02 14:55:48+00:00,cc-by-sa-4.0,0,unknown,2406.09948
Q&A,AkshitaS/facebook_mlqa_plus,0,64,2024-06-13 22:09:56+00:00,cc-by-sa-3.0,0,unknown,none
Q&A,AkshitaS/google_xquad_plus,0,30,2024-06-13 22:08:26+00:00,cc-by-nc-sa-4.0,0,unknown,none
